"barcode_id","sibship_id"
"ED17_12_01",1146
"ED18_12_02",1146
"ED24_12_02",1146
"ED18_12_01",1147
"ED18_12_03",1147
"ED20_12_01",1147
"ED19_28_01",1148
"ED22_27B_02",1148
"ED20_32_01",1149
"ED26_02_18",1149
"ED27_32_07",1149
"ED20_32_02",1150
"ED26_32_12",1150
"ED21_01A_01",1151
"ED24_01A_06",1151
"ED25_01A_01",1151
"ED25_05_05",1151
"ED26_01A_05",1151
"ED26_01A_14",1151
"ED27_01A_10",1151
"ED27_01A_11",1151
"ED27_04_05",1151
"ED21_15A_04",1152
"ED26_06_03",1152
"ED21_28A_02",1153
"ED25_13_04",1153
"ED26_19B_04",1153
"ED22_05_02",1154
"ED25_05_04",1154
"ED22_32_01",1155
"ED23_19B_04",1155
"ED23_01A_02",1156
"ED27_03A_01",1156
"ED23_19B_01",1157
"ED24_19A_01",1157
"ED26_19B_01",1157
"ED26_28A_01",1157
"ED27_19B_01",1157
"ED27_19B_02",1157
"ED27_19B_05",1157
"ED23_32_01",1158
"ED26_01A_06",1158
"ED24_01A_01",1159
"ED25_01A_14",1159
"ED27_14_01",1159
"ED24_01A_05",1160
"ED25_01A_12",1160
"ED27_01A_03",1160
"ED24_01A_09",1161
"ED27_17_01",1161
"ED24_01A_11",1162
"ED25_01A_02",1162
"ED25_01A_07",1162
"ED24_01A_12",1163
"ED25_01A_15",1163
"ED24_01A_14",1164
"ED25_01A_06",1164
"ED25_01A_09",1164
"ED26_01A_11",1164
"ED26_04_03",1164
"ED27_01A_04",1164
"ED24_11_01",1165
"ED27_13_03",1165
"ED24_12_01",1166
"ED25_35_03",1166
"ED24_13_01",1167
"ED24_13_06",1167
"ED26_29_02",1167
"ED24_13_03",1168
"ED24_13_05",1168
"ED26_17_05",1168
"ED24_13_08",1169
"ED27_01A_02",1169
"ED24_15A_01",1170
"ED26_05_01",1170
"ED24_17_01",1171
"ED26_32_04",1171
"ED24_17_03",1172
"ED25_02_02",1172
"ED24_23A_01",1173
"ED25_32_06",1173
"ED24_31_02",1174
"ED24_31_06",1174
"ED24_31_10",1174
"ED25_31_03",1174
"ED25_31_05",1174
"ED26_31_01",1174
"ED26_31_02",1174
"ED26_31_07",1174
"ED26_31_09",1174
"ED27_31_01",1174
"ED27_31_02",1174
"ED24_32_02",1175
"ED25_32_07",1175
"ED26_32_03",1175
"ED26_32_07",1175
"ED27_32_04",1175
"ED27_32_05",1175
"ED24_33_01",1176
"ED26_10_02",1176
"ED25_01A_10",1177
"ED27_05_01",1177
"ED25_01A_13",1178
"ED25_02_01",1178
"ED27_23A_01",1178
"ED25_02_05",1179
"ED26_09_01",1179
"ED25_05_06",1180
"ED25_31_08",1180
"ED26_12_03",1180
"ED26_12_04",1180
"ED25_06_01",1181
"ED25_35_01",1181
"ED25_27B_01",1182
"ED25_27B_02",1182
"ED25_31_02",1183
"ED26_17_04",1183
"ED25_32_04",1184
"ED26_25A_02",1184
"ED25_32_09",1185
"ED26_32_08",1185
"ED25_33_02",1186
"HR25_33_02",1186
"ED25_35_02",1187
"ED25_35_04",1187
"ED26_01A_10",1188
"ED26_01A_12",1188
"ED26_02_08",1189
"ED26_15A_01",1189
"ED26_02_12",1190
"ED27_40_02",1190
"ED26_02_27",1191
"SD25_16_05",1191
"ED26_13_05",1192
"SD26_33A_22",1192
"ED26_29_04",1193
"SD27_37_10",1193
"ED26_29_07",1194
"ED27_10_01",1194
"ED26_32_01",1195
"ED27_07_03",1195
"ED27_04_01",1196
"ED27_32_06",1196
"ED27_08_04",1197
"ED27_08_05",1197
"ED27_28A_01",1198
"ED27_40_04",1198
"HR19_09_01",1199
"HR25_04_09",1199
"HR27_04_03",1199
"HR19_23_08",1200
"HR25_04_04",1200
"HR19_34_09",1201
"HR25_33_01",1201
"HR26_18_03",1201
"HR26_18_05",1201
"HR20_26_02",1202
"HR24_18_08",1202
"HR26_13_01",1202
"HR21_18_01",1203
"HR26_18_09",1203
"HR27_18_06",1203
"HR27_19A_05",1203
"HR27_36_14",1203
"HR22_04_01",1204
"HR23_26_02",1204
"HR23_07A_03",1205
"HR27_04_07",1205
"HR23_16_05",1206
"HR24_16_02",1206
"HR23_16_07",1207
"HR23_19A_01",1207
"HR23_16_08",1208
"HR27_14_03",1208
"HR27_21_03",1208
"HR23_16_11",1209
"HR23_28_03",1209
"HR24_19A_02",1209
"HR24_19A_03",1209
"HR27_12_01",1209
"HR23_23_01",1210
"HR27_23_15",1210
"HR23_23_07",1211
"HR24_21A_03",1211
"HR23_23_12",1212
"HR27_36_12",1212
"HR23_28_01",1213
"HR24_28_01",1213
"HR27_36_13",1213
"HR23_28_02",1214
"HR26_28_02",1214
"HR27_28_03",1214
"HR24_04_02",1215
"HR25_24_02",1215
"HR24_06A_01",1216
"HR25_36_03",1216
"HR27_19A_04",1216
"HR27_19A_07",1216
"HR24_07A_01",1217
"HR25_05A_01",1217
"HR26_12_05",1217
"HR24_07A_02",1218
"HR25_04_07",1218
"HR24_07A_05",1219
"HR24_07A_06",1219
"HR24_16_04",1220
"HR24_18_07",1220
"HR24_16_05",1221
"HR27_23_02",1221
"HR24_18_01",1222
"HR27_33_01",1222
"HR24_18_02",1223
"HR26_18_01",1223
"HR27_18_05",1223
"HR27_18_18",1223
"HR24_18_03",1224
"HR24_22_03",1224
"HR26_18_10",1224
"HR27_18_17",1224
"HR24_18_04",1225
"HR26_18_13",1225
"HR27_18_13",1225
"HR24_18_09",1226
"HR26_18_19",1226
"HR24_21A_04",1227
"HR27_28_05",1227
"HR24_22_01",1228
"HR26_18_08",1228
"HR24_22_02",1229
"HR24_28_04",1229
"HR25_09_02",1229
"HR24_28_02",1230
"HR26_20A_01",1230
"HR24_36_04",1231
"HR26_04_09",1231
"HR25_04_01",1232
"HR26_14_06",1232
"HR25_04_03",1233
"HR25_14_02",1233
"HR27_04_05",1233
"HR25_04_08",1234
"HR25_04_11",1234
"HR26_04_02",1234
"HR26_04_04",1234
"HR26_04_05",1234
"HR26_04_07",1234
"HR26_04_13",1234
"HR26_04_14",1234
"HR27_04_08",1234
"HR25_04_10",1235
"HR26_04_01",1235
"HR27_04_01",1235
"HR25_09_01",1236
"HR26_12_03",1236
"HR25_14_01",1237
"HR26_36_04",1237
"HR25_23_02",1238
"HR25_23_08",1238
"HR25_23_06",1239
"HR26_23_05",1239
"HR25_23_09",1240
"HR26_18_17",1240
"HR25_23_11",1241
"HR27_04_06",1241
"HR25_24_01",1242
"HR27_22_02",1242
"HR25_26_02",1243
"HR26_26_04",1243
"HR25_31_01",1244
"HR26_23_08",1244
"HR27_23_13",1244
"HR25_36_02",1245
"HR27_36_19",1245
"HR26_04_03",1246
"HR26_04_12",1246
"HR26_04_06",1247
"HR26_04_08",1247
"HR26_04_16",1247
"HR26_05A_01",1248
"HR26_14_04",1248
"HR27_14_05",1248
"HR26_12_02",1249
"HR27_36_06",1249
"HR26_13_03",1250
"HR26_13_04",1250
"HR26_14_01",1251
"HR27_14_06",1251
"HR26_18_06",1252
"HR26_19A_02",1252
"HR26_18_07",1253
"HR27_18_12",1253
"HR27_18_14",1253
"HR26_18_14",1254
"HR27_36_08",1254
"HR26_18_15",1255
"HR27_18_02",1255
"HR26_22_01",1256
"HR27_12_03",1256
"HR27_24_01",1256
"HR26_22_02",1257
"HR27_12_05",1257
"HR26_23_09",1258
"HR26_36_10",1258
"HR26_26_03",1259
"HR27_19A_01",1259
"HR26_36_03",1260
"HR26_36_05",1260
"HR26_36_06",1260
"HR27_18_15",1260
"HR26_36_08",1261
"HR27_14_09",1261
"HR27_14_02",1262
"HR27_18_11",1262
"HR27_19A_03",1262
"HR27_24_02",1262
"HR27_18_04",1263
"HR27_19A_09",1263
"HR27_20A_01",1263
"HR27_19A_02",1264
"HR27_26_01",1264
"HR27_36_03",1264
"HR27_19A_08",1265
"HR27_20A_03",1265
"HR27_21_06",1266
"HR27_22_03",1266
"HR27_23_01",1267
"HR27_23_06",1267
"HR27_23_08",1268
"HR27_23_12",1268
"HR27_36_02",1269
"HR27_36_11",1269
"HR27_36_10",1270
"HR27_36_18",1270
"NR18_16_01",1271
"NR20_16_02",1271
"NR26_16_01",1271
"NR27_16_01",1271
"NR27_18_01",1271
"NR18_27_01",1272
"NR23_27_03",1272
"NR19_08_08",1273
"NR23_08_02",1273
"NR24_08_02",1273
"NR25_08_06",1273
"NR26_10_03",1273
"NR27_08_03",1273
"NR19_08_09",1274
"NR27_08_04",1274
"NR19_08_13",1275
"NR21_19_02",1275
"NR21_44_05",1275
"NR19_16_02",1276
"NR25_43_02",1276
"NR19_27_01",1277
"NR26_27_02",1277
"NR19_28_05",1278
"NR25_27_05",1278
"NR26_28_03",1278
"NR19_43_02",1279
"NR20_01_22",1279
"NR19_44_05",1280
"NR20_44_02",1280
"NR26_44_02",1280
"NR19_44_07",1281
"NR20_44_24",1281
"NR19_44_08",1282
"NR25_16_10",1282
"NR26_20_07",1282
"NR20_01_15",1283
"NR20_01_18",1283
"NR26_44_04",1283
"NR20_01_17",1284
"NR20_01_20",1284
"NR23_01_01",1284
"NR20_01_19",1285
"NR20_01_27",1285
"NR21_01_06",1285
"NR24_01_01",1285
"NR25_01_03",1285
"NR25_20_17",1285
"NR25_20_24",1285
"NR20_01_21",1286
"NR21_44_03",1286
"NR20_14B_01",1287
"NR25_14A_07",1287
"NR20_20_01",1288
"NR24_20_14",1288
"NR25_20_09",1288
"NR25_20_19",1288
"NR25_20_22",1288
"NR26_20_08",1288
"NR26_44_06",1288
"NR20_29_11",1289
"NR27_27_04",1289
"NR20_30A_01",1290
"NR27_30A_03",1290
"NR20_44_01",1291
"NR20_44_05",1291
"NR24_16_01",1291
"NR25_20_07",1291
"NR26_20_05",1291
"NR20_44_03",1292
"NR26_44_01",1292
"NR20_44_06",1293
"NR24_16_05",1293
"NR21_27_08",1294
"NR25_25_01",1294
"NR22_14A_01",1295
"NR27_14A_04",1295
"NR22_14A_02",1296
"NR23_29_01",1296
"NR27_29_04",1296
"NR22_25_01",1297
"NR25_16_08",1297
"NR22_29_05",1298
"NR25_14A_02",1298
"NR27_14A_01",1298
"NR23_06A_01",1299
"NR24_15B_01",1299
"NR26_06A_03",1299
"NR23_22_02",1300
"NR26_22_02",1300
"NR23_24_01",1301
"NR26_24_07",1301
"NR23_24_08",1302
"NR25_08_01",1302
"NR25_08_04",1302
"NR25_23_05",1302
"NR27_08_02",1302
"NR23_27_02",1303
"NR27_27_18",1303
"NR24_03_01",1304
"NR26_24_08",1304
"NR24_06A_01",1305
"NR24_22_01",1305
"NR24_06A_02",1306
"NR27_06A_05",1306
"NR24_08_04",1307
"NR24_16_04",1307
"NR26_22_01",1307
"NR24_16_03",1308
"NR24_20_05",1308
"NR24_18_01",1309
"NR25_16_01",1309
"NR25_16_02",1309
"NR24_20_01",1310
"NR24_20_16",1310
"NR26_30A_04",1310
"NR26_44_03",1310
"NR24_20_02",1311
"NR26_20_09",1311
"NR24_20_04",1312
"NR24_20_10",1312
"NR24_20_08",1313
"NR25_20_05",1313
"NR26_20_01",1313
"NR26_20_03",1313
"NR24_20_13",1314
"NR25_20_03",1314
"NR26_20_04",1314
"NR24_23_01",1315
"NR24_23_02",1315
"NR24_27_03",1316
"NR25_27_02",1316
"NR24_29_02",1317
"NR27_10_01",1317
"NR24_32_01",1318
"NR26_32_05",1318
"NR25_01_01",1319
