"Ind246",159,171,242,240,363,359,312,312,278,272,170,170,137,133,299,275,124,112,188,191,198,204,294,282
"Ind1789",157,177,240,242,355,339,312,312,298,268,170,170,143,133,267,267,120,124,200,191,198,206,290,282
"Ind1097",163,163,250,242,355,339,308,312,296,278,176,166,137,135,269,267,116,120,191,191,200,204,292,290
"Ind39",169,157,254,240,355,355,312,308,278,278,170,176,147,135,263,271,130,120,191,191,204,206,290,290
"Ind300",165,177,242,242,355,355,308,312,272,278,168,164,137,137,263,267,118,118,191,191,198,206,318,294
"Ind863",157,157,242,240,363,363,308,312,276,248,170,174,141,133,269,269,120,124,191,191,200,206,292,306
"Ind607",157,153,252,242,339,355,308,308,252,248,178,170,135,137,267,263,120,118,191,191,214,206,286,294
"Ind725",169,159,242,240,339,355,308,312,248,298,170,176,143,137,269,271,120,120,191,191,198,210,292,294
"Ind1955",161,169,254,0,355,355,312,312,292,266,170,172,137,135,259,265,120,124,191,188,206,198,306,306
"Ind1174",169,157,238,242,363,355,308,312,248,0,172,178,137,143,263,263,124,120,188,191,210,198,292,286
"Ind191",169,169,242,278,359,355,308,312,248,258,178,170,139,135,265,275,124,124,188,185,206,208,294,318
"Ind1655",157,163,242,242,339,355,312,308,252,252,170,164,135,135,263,275,118,112,188,191,206,214,290,294
"Ind1676",161,153,248,254,363,359,308,308,248,288,168,164,143,135,257,259,116,120,191,191,198,206,292,282
"Ind1073",161,165,242,254,339,355,312,308,278,306,170,178,133,135,265,263,118,124,191,188,206,210,318,286
"Ind1761",0,0,240,250,355,355,312,312,278,272,168,170,137,135,263,275,120,126,191,191,206,206,294,294
"Ind201",169,143,246,242,359,359,312,312,248,286,164,170,137,133,269,265,120,118,191,191,214,206,292,288
"Ind1322",173,171,240,242,355,359,312,312,292,272,170,178,135,135,263,267,112,116,191,191,206,198,284,282
"Ind138",159,161,242,242,355,339,312,312,0,0,178,176,137,135,265,263,118,124,191,191,206,198,308,288
"Ind84",163,157,248,240,339,363,312,308,252,328,168,164,135,143,265,261,124,118,191,191,198,238,300,290
"Ind1324",157,157,238,240,355,339,312,312,306,278,176,166,133,137,267,267,120,120,191,191,198,204,288,282
"Ind309",167,163,242,242,359,355,308,308,266,272,170,174,135,133,271,267,112,120,191,191,206,208,286,284
"Ind1421",157,173,240,240,355,355,312,308,288,278,178,178,147,135,267,267,118,124,188,191,204,206,318,288
