"Ind640",165,0,254,242,359,355,312,312,258,288,164,164,133,137,267,275,124,124,191,191,206,214,284,290
"Ind800",169,153,246,262,355,339,312,308,278,288,170,170,135,135,269,275,124,130,191,191,200,206,294,284
"Ind1911",169,153,246,242,339,355,308,312,296,258,172,172,149,139,275,259,124,120,191,191,214,198,298,278
"Ind1733",163,157,0,0,0,0,308,308,290,278,172,164,141,135,265,271,118,124,191,188,206,196,292,282
"Ind1395",159,157,240,240,339,339,308,308,278,248,176,178,135,135,267,269,112,124,188,191,214,198,290,294
"Ind3",169,157,246,242,355,355,312,308,266,286,178,170,135,135,275,267,124,116,191,191,206,198,290,294
"Ind1636",173,169,248,248,355,0,308,312,286,278,176,170,135,139,267,267,124,116,191,191,206,204,290,300
"Ind1212",173,157,242,242,355,339,312,312,288,298,178,164,137,133,265,275,120,118,188,188,198,198,294,294
"Ind1015",155,155,240,240,355,355,308,312,248,276,168,170,135,131,267,275,118,124,191,191,196,206,300,294
"Ind349",173,171,240,242,355,355,312,312,276,248,170,164,143,137,261,275,124,116,191,191,210,206,290,290
"Ind1060",177,173,242,242,339,355,312,312,272,258,164,176,137,135,267,269,120,124,191,191,214,196,292,290
"Ind1949",171,157,242,240,355,355,312,312,278,278,182,180,139,143,269,265,120,116,188,191,206,206,318,290
"Ind1982",0,0,278,264,339,355,312,308,272,266,170,178,135,141,267,265,120,124,200,191,206,206,294,318
"Ind1121",159,187,240,242,359,355,308,312,286,248,168,176,137,133,267,265,124,120,188,191,206,206,298,294
"Ind37",143,169,246,0,355,355,312,308,278,272,170,182,135,137,265,263,116,130,191,188,204,206,294,318
"Ind302",179,153,240,242,339,355,308,312,258,268,176,170,135,135,275,267,124,124,188,188,206,206,318,294
"Ind1784",157,153,242,242,339,339,312,312,278,288,170,168,137,133,257,275,118,112,191,191,206,198,304,288
"Ind1709",173,157,240,246,355,355,312,312,0,0,178,170,141,135,265,0,120,116,188,185,208,206,288,306
"Ind1139",161,157,242,240,359,355,308,312,298,248,174,178,137,135,263,263,124,128,191,191,198,214,300,284
"Ind1138",165,151,240,254,355,355,312,312,276,272,182,176,135,135,261,263,118,120,191,191,206,204,286,308
"Ind1698",157,153,242,242,359,359,312,308,248,278,170,168,137,135,267,267,120,124,191,191,198,196,288,306
"Ind928",157,167,240,240,355,355,308,312,252,278,164,170,135,141,263,271,118,128,191,200,210,238,286,282
"Ind128",153,175,242,242,355,355,312,312,278,278,172,176,135,137,271,269,120,120,191,191,206,206,294,308
"Ind1517",157,171,278,240,339,355,312,304,248,266,170,144,135,141,259,275,124,130,191,194,214,212,300,282
"Ind101",159,171,240,252,355,355,312,312,266,272,168,176,137,135,275,273,116,120,188,191,214,214,282,290
"Ind1348",0,0,254,248,355,355,308,312,272,278,176,176,139,135,267,259,124,120,191,191,206,190,288,290
"Ind570",165,157,242,238,355,355,312,308,272,248,180,168,137,137,303,265,122,124,191,191,206,202,306,306
"Ind50",153,155,242,256,355,359,312,312,0,0,168,176,135,133,265,267,120,120,191,188,206,206,284,278
"Ind1101",157,155,254,242,339,359,304,312,278,272,166,178,147,143,267,265,118,120,191,188,206,214,318,288
"Ind31",161,167,248,240,355,359,312,308,278,288,172,170,135,135,265,263,124,126,191,191,206,206,292,284
"Ind377",159,157,240,246,355,355,312,312,278,248,172,170,133,137,275,275,130,124,191,188,198,198,286,308
