"","individual","truecolony","landscape_id","trap_id","BT10_1","BT10_2","B96_1","B96_2","BTMS0059_1","BTMS0059_2","BTMS0081_1","BTMS0081_2","BTMS0062_1","BTMS0062_2","B126_1","B126_2","BTERN01_1","BTERN01_2","B124_1","B124_2","BTMS0057_1","BTMS0057_2","BT30_1","BT30_2","B10_1","B10_2","BTMS0083_1","BTMS0083_2"
"433","Ind433",4646,5,118,159,171,240,242,355,355,312,312,278,278,170,166,137,143,275,269,116,124,191,191,204,206,292,290
"1697","Ind1697",17127,6,148,153,159,264,242,359,359,312,308,268,278,168,170,137,135,269,265,124,120,191,191,204,206,282,294
"554","Ind554",6065,1,13,157,165,242,242,355,359,308,308,272,248,170,178,141,133,267,263,120,120,191,191,204,206,290,290
"354","Ind354",3891,1,18,157,143,254,240,359,359,308,308,278,304,174,172,135,137,265,265,112,124,191,191,210,206,290,294
"136","Ind136",1581,3,68,157,153,246,242,355,355,312,312,278,290,176,170,135,135,265,303,130,118,191,191,206,210,290,286
"45","Ind45",755,3,68,161,165,246,248,339,355,308,304,0,0,174,178,141,135,265,263,112,120,191,188,198,198,290,278
"999","Ind999",10630,2,42,159,167,242,252,359,355,308,308,286,292,176,170,143,135,269,259,124,124,191,191,206,206,284,318
"114","Ind114",1445,6,144,157,165,240,242,355,355,312,308,248,0,176,178,135,135,269,265,124,112,191,191,206,204,298,306
"1307","Ind1307",13329,1,10,157,171,264,240,359,355,308,308,278,268,172,168,135,143,267,267,120,120,191,191,206,200,294,288
"772","Ind772",8442,5,113,165,153,240,238,363,359,308,308,294,296,168,164,135,143,269,261,118,120,191,191,198,198,308,292
"1171","Ind1171",12066,4,87,169,171,242,240,363,359,308,312,252,288,170,170,137,135,275,267,116,118,191,191,206,198,318,308
"1786","Ind1786",18053,1,8,169,171,242,240,339,339,312,312,274,248,174,164,137,135,265,275,120,116,188,191,206,198,294,286
"1345","Ind1345",13667,1,5,169,165,248,240,355,355,312,308,292,0,172,168,137,135,271,263,112,124,191,191,206,238,282,318
"885","Ind885",9493,4,94,157,157,242,244,355,339,308,312,278,258,168,170,137,141,265,263,120,130,188,191,198,206,284,290
"1463","Ind1463",14872,4,92,161,165,242,264,355,355,312,312,284,268,178,168,141,137,267,271,116,118,191,191,238,204,290,294
"385","Ind385",4158,4,91,143,0,242,240,359,355,312,308,278,292,170,184,135,133,267,275,118,120,191,191,206,206,318,292
"1664","Ind1664",16833,4,91,165,157,238,246,355,355,312,308,278,266,168,174,141,137,267,267,124,130,191,191,200,206,294,294
"3","Ind3",40,5,108,153,157,242,240,355,359,312,312,258,278,170,168,137,141,265,275,112,120,191,200,206,206,292,306
"1578","Ind1578",16078,2,44,171,173,240,242,359,355,308,312,272,288,170,168,135,135,269,259,120,128,188,185,212,206,286,284
"1255","Ind1255",12843,6,138,143,159,238,254,355,339,308,312,252,286,172,170,143,137,271,265,116,124,191,200,198,206,280,292
"472","Ind472",5028,4,97,167,0,246,242,355,363,312,308,276,0,174,0,135,141,263,271,120,118,188,188,206,204,284,298
"38","Ind38",686,6,135,169,173,242,242,359,355,312,312,278,272,168,176,141,137,263,269,120,120,188,191,206,208,292,286
"573","Ind573",6327,5,122,153,0,246,264,355,359,312,308,248,278,168,182,137,135,267,273,130,120,200,191,198,198,280,282
"8","Ind8",150,3,56,171,153,238,246,355,359,312,308,278,252,172,178,135,133,267,263,118,124,191,191,206,200,306,294
"388","Ind388",4181,2,40,177,157,246,246,355,355,312,308,278,288,170,172,141,141,267,275,120,112,191,191,200,206,292,282
"124","Ind124",1510,5,109,165,177,254,278,355,355,312,312,278,278,176,172,137,135,275,267,128,124,191,191,198,206,286,290
"1549","Ind1549",15794,4,82,157,153,238,246,339,355,312,312,298,284,176,166,137,135,267,263,124,120,191,191,204,210,318,294
"1885","Ind1885",18902,6,146,165,153,242,240,355,355,308,312,268,272,168,168,137,137,267,275,124,120,188,191,206,214,298,284
"1231","Ind1231",12582,5,101,173,159,240,242,363,355,308,308,0,0,166,178,141,147,265,263,118,120,191,200,206,206,288,292
"895","Ind895",9572,5,115,153,153,246,240,339,355,308,312,278,268,178,176,143,147,265,263,120,120,191,188,198,206,282,292
"1583","Ind1583",16112,5,120,165,155,278,242,355,355,308,312,278,250,170,172,135,135,267,257,116,118,191,191,206,238,284,290
"157","Ind157",1791,3,73,173,155,240,240,355,355,312,312,292,248,170,178,137,135,267,267,124,120,200,191,212,210,288,294
"256","Ind256",2808,3,60,173,157,242,254,363,355,312,312,0,0,172,170,147,135,271,265,130,126,191,191,198,198,290,294
"1996","Ind1996",19969,1,8,159,153,242,254,363,355,312,312,278,278,168,168,137,135,269,259,126,124,191,188,206,206,282,284
"1876","Ind1876",18836,1,20,165,157,254,240,355,355,312,312,292,274,168,176,141,141,263,265,122,124,191,191,214,206,290,290
"806","Ind806",8728,1,15,153,157,254,246,355,359,308,308,278,278,170,168,137,143,269,261,120,120,191,191,206,210,286,284
"427","Ind427",4578,5,108,173,157,242,254,355,355,308,312,248,266,168,172,135,143,263,267,120,120,191,191,206,206,292,282
"1268","Ind1268",12958,5,108,157,157,242,246,359,355,308,308,272,272,170,168,135,135,265,263,128,118,191,191,204,206,290,286
"1896","Ind1896",19017,5,113,171,155,238,240,339,355,312,312,252,276,170,176,133,139,265,265,126,120,191,191,214,206,292,308
"302","Ind302",3337,5,116,143,165,240,240,363,355,308,312,278,258,170,170,135,135,269,265,126,120,191,191,206,198,286,292
"1477","Ind1477",15038,5,109,171,179,246,240,359,359,312,308,296,292,168,168,135,141,265,269,120,118,191,191,204,204,306,290
"227","Ind227",2491,2,26,157,173,254,242,359,355,312,308,0,0,178,170,141,137,263,267,120,120,191,191,206,204,292,306
"558","Ind558",6101,1,18,143,157,242,246,355,359,308,308,248,266,168,172,137,137,269,275,124,130,188,191,198,196,284,294
"1440","Ind1440",14719,2,29,155,171,242,278,359,355,312,312,278,272,176,172,143,135,265,267,120,122,191,191,206,196,292,294
"1426","Ind1426",14554,3,65,159,153,246,252,359,355,312,312,258,258,170,178,135,135,259,271,124,124,191,191,210,206,286,288
"987","Ind987",10527,3,72,159,169,246,240,339,355,312,312,268,252,168,178,135,137,269,273,124,126,191,191,206,206,290,284
"1379","Ind1379",14116,5,109,157,179,252,242,355,339,312,312,0,0,182,170,133,141,275,263,120,120,191,191,206,210,282,292
"689","Ind689",7478,6,130,169,173,242,254,359,359,308,308,268,252,172,168,135,133,275,267,120,116,191,188,204,206,280,292
"1723","Ind1723",17411,5,119,161,153,250,242,355,355,312,308,276,278,170,178,135,137,271,267,120,120,191,188,204,206,286,278
