"","individual","truecolony","landscape_id","trap_id","BT10_1","BT10_2","B96_1","B96_2","BTMS0059_1","BTMS0059_2","BTMS0081_1","BTMS0081_2","BTMS0062_1","BTMS0062_2","B126_1","B126_2","BTERN01_1","BTERN01_2","B124_1","B124_2","BTMS0057_1","BTMS0057_2","BT30_1","BT30_2","B10_1","B10_2","BTMS0083_1","BTMS0083_2"
"1669","Ind1669",16816,5,116,167,157,242,242,355,355,312,312,272,266,182,174,135,143,259,275,120,116,191,191,198,206,286,284
"1456","Ind1456",14823,3,70,173,159,242,242,355,355,312,312,276,252,176,168,139,133,275,265,112,118,191,191,214,204,288,284
"1892","Ind1892",19043,6,136,165,167,240,242,359,355,308,312,274,278,168,166,141,135,267,265,124,124,191,191,206,206,306,278
"1200","Ind1200",12457,3,54,153,173,246,246,359,359,312,312,266,278,170,170,137,135,265,303,122,118,200,188,206,206,306,288
"1457","Ind1457",14837,5,104,173,175,248,246,363,355,312,312,278,290,168,172,141,137,271,275,112,118,191,191,198,206,282,286
"1997","Ind1997",19979,2,41,159,173,242,242,351,355,312,308,278,254,164,168,137,135,269,263,118,112,191,191,206,206,292,292
"1517","Ind1517",15508,3,64,171,171,242,240,355,355,312,308,272,278,170,176,133,135,263,271,120,112,191,191,0,0,0,0
"1295","Ind1295",13375,3,55,0,0,238,242,359,363,312,312,278,248,178,168,135,143,271,269,120,120,191,191,206,198,290,286
"358","Ind358",3423,1,23,165,161,240,254,339,355,308,312,298,268,174,170,141,135,265,267,130,112,191,191,204,214,292,294
"119","Ind119",1217,4,98,159,157,240,238,355,355,308,312,278,252,170,170,135,137,257,263,118,112,188,185,204,206,290,318
"477","Ind477",4994,6,132,177,167,242,242,355,355,308,312,288,292,170,176,135,143,263,263,116,120,191,188,208,198,278,282
"991","Ind991",10265,2,28,173,161,254,238,355,355,308,312,252,278,168,176,135,137,265,267,124,122,191,188,204,200,292,282
"730","Ind730",7709,6,139,0,0,248,242,339,359,308,308,292,248,168,164,133,135,271,271,120,122,185,191,206,206,292,298
"1592","Ind1592",16201,5,103,165,165,240,248,359,355,312,308,288,248,172,168,137,135,267,273,124,130,191,191,206,206,318,290
"1898","Ind1898",19103,2,41,173,157,246,242,355,355,308,312,278,266,176,178,137,133,267,263,124,120,191,191,206,190,280,282
"258","Ind258",2553,3,73,169,159,248,240,355,359,312,312,252,266,178,168,137,135,275,265,124,120,191,191,214,206,294,298
"242","Ind242",2443,1,18,153,157,248,240,355,359,308,308,248,272,168,166,139,135,267,299,120,124,188,191,206,198,318,294
"800","Ind800",8401,3,53,153,157,240,246,355,355,312,312,272,278,170,178,135,135,271,263,124,124,191,191,200,198,294,282
"192","Ind192",1944,6,129,153,157,240,242,359,339,304,312,278,272,178,164,137,135,273,275,124,124,191,191,190,206,298,308
"215","Ind215",2147,5,125,0,0,240,242,355,355,312,312,306,286,178,182,141,137,267,265,120,112,191,191,206,206,284,292
"404","Ind404",4157,5,114,175,179,246,242,355,355,312,312,0,0,164,174,135,141,275,265,120,118,191,191,206,206,294,294
"613","Ind613",6521,2,30,165,181,240,262,355,339,308,312,248,300,178,178,133,133,265,275,116,118,188,185,198,206,282,280
"757","Ind757",7928,6,137,171,0,242,240,355,355,312,312,296,272,170,170,135,137,271,267,120,120,191,191,198,206,306,286
"619","Ind619",6569,6,138,173,165,240,242,355,355,312,312,288,266,170,168,135,135,265,275,120,120,191,191,206,198,306,282
"80","Ind80",740,1,1,157,159,240,240,355,355,312,312,272,248,164,172,135,135,275,275,120,124,191,188,206,196,286,300
"1391","Ind1391",14257,1,4,153,157,240,242,359,339,312,312,272,248,178,170,135,135,275,265,120,120,185,191,214,208,292,280
"1063","Ind1063",11027,4,86,161,169,240,242,363,363,312,308,294,248,176,170,141,133,265,275,120,120,191,191,206,190,292,278
"1526","Ind1526",15590,5,105,177,157,238,246,355,363,312,312,286,0,178,172,135,0,263,265,122,116,191,191,198,206,284,294
"1559","Ind1559",15900,6,128,183,177,244,246,359,339,312,308,268,252,184,176,135,143,269,267,118,124,194,188,198,198,290,286
"1520","Ind1520",15535,6,127,173,161,240,242,355,355,312,312,278,278,176,178,143,143,259,265,126,120,191,191,206,214,304,302
"1486","Ind1486",15160,5,110,167,159,242,254,355,355,312,312,286,254,170,182,137,137,265,303,120,116,191,191,198,206,286,284
"1469","Ind1469",15036,4,91,157,153,246,240,359,355,308,308,278,278,172,168,141,135,265,267,120,120,191,200,204,190,294,290
"1546","Ind1546",15727,2,45,143,173,248,246,0,0,312,312,296,278,174,176,137,135,265,267,124,120,191,191,206,198,282,290
"720","Ind720",7634,3,75,157,153,242,246,355,359,308,312,266,292,170,178,141,135,261,271,124,120,200,191,206,210,294,284
"953","Ind953",9879,4,83,153,163,248,240,339,355,312,312,272,272,164,168,137,135,263,259,120,124,191,185,206,206,292,294
"1410","Ind1410",14437,6,143,153,163,248,242,359,359,312,308,278,248,170,170,143,135,269,267,120,122,188,191,206,200,294,282
"1819","Ind1819",18407,6,135,177,0,242,240,339,359,308,312,252,252,176,174,133,139,267,269,120,118,191,188,214,210,292,294
"331","Ind331",3228,6,127,165,153,246,246,359,359,312,312,278,278,170,178,135,135,265,271,120,124,191,191,206,198,294,282
"5","Ind5",37,3,62,171,169,240,246,355,339,308,308,248,278,168,164,135,133,269,267,120,118,191,191,188,200,292,294
"1583","Ind1583",16137,4,90,155,155,240,242,355,339,308,312,272,278,178,178,137,133,265,263,130,124,191,191,212,208,318,284
"1596","Ind1596",16238,6,134,153,171,242,254,355,339,312,308,298,248,170,168,137,143,271,267,120,116,194,191,198,198,286,282
"1809","Ind1809",18308,4,78,157,171,250,252,355,355,308,308,272,268,170,178,133,141,269,267,118,120,185,191,196,210,284,282
"1899","Ind1899",19103,2,49,173,157,246,242,355,355,308,312,298,266,176,178,137,133,267,263,124,120,191,191,206,190,290,282
"257","Ind257",2544,6,143,173,153,246,242,359,359,308,312,278,272,170,168,143,139,263,261,124,120,191,191,206,198,282,294
"484","Ind484",5070,3,56,169,175,240,240,355,363,312,312,248,278,178,168,135,137,275,263,120,124,200,191,204,206,300,294
"510","Ind510",5317,2,39,153,157,242,244,355,355,308,308,278,274,168,168,135,135,263,267,118,124,191,188,206,198,280,308
"1183","Ind1183",12277,5,112,151,169,242,244,355,355,312,312,278,278,168,174,135,133,267,263,120,122,191,191,196,206,282,284
"1536","Ind1536",15694,3,57,153,173,254,240,355,355,308,312,0,0,172,168,137,137,269,265,118,120,191,191,198,214,292,278
"989","Ind989",10203,1,1,177,157,242,242,339,339,312,308,298,278,164,172,141,135,275,271,124,120,185,191,238,204,278,280
"1515","Ind1515",15482,2,44,161,165,246,242,363,339,312,308,288,272,170,168,137,135,269,263,120,122,188,191,206,206,296,282
"1345","Ind1345",13826,6,141,177,157,242,240,339,359,312,312,278,298,170,170,135,137,265,265,120,120,191,185,214,198,282,290
"570","Ind570",6011,3,56,165,157,246,248,355,359,312,312,278,272,182,170,137,133,265,299,124,124,191,191,206,206,280,290
"1722","Ind1722",17353,4,94,159,157,242,242,355,359,312,312,272,248,176,178,135,135,269,271,118,118,191,191,204,210,290,282
"990","Ind990",10217,2,43,153,157,242,242,359,355,312,308,0,0,170,172,143,135,269,269,112,124,191,191,204,198,306,286
"883","Ind883",9157,5,114,167,165,250,240,355,359,312,308,278,288,170,176,143,137,267,267,124,130,191,191,206,214,308,306
"410","Ind410",4185,5,103,159,165,242,246,359,355,312,312,278,278,174,178,139,135,275,263,120,124,191,191,206,206,290,280
"1473","Ind1473",15073,1,16,169,177,246,242,355,355,312,308,290,252,178,184,135,135,265,259,126,120,191,191,206,204,288,290
"848","Ind848",8897,3,70,165,157,238,246,355,359,312,308,298,278,170,176,137,135,269,259,114,116,191,188,206,206,288,286
"1083","Ind1083",11276,2,37,159,171,264,246,339,355,312,308,286,296,170,172,141,137,265,267,116,124,191,191,206,208,318,286
"1782","Ind1782",18108,4,84,153,171,252,240,355,363,312,312,278,0,178,170,135,143,271,265,120,118,191,191,206,206,278,300
"1352","Ind1352",13885,6,143,171,173,248,238,359,339,312,312,278,296,170,172,137,135,271,265,112,124,191,191,206,198,290,318
"901","Ind901",9346,2,43,161,173,238,238,363,355,308,308,278,248,174,170,133,135,267,263,120,126,200,191,206,206,294,290
"302","Ind302",2996,3,59,163,157,246,240,355,359,312,308,278,278,168,172,135,137,267,271,120,124,191,191,196,208,284,318
