"","individual","truecolony","BT10_1","BT10_2","B96_1","B96_2","BTMS0059_1","BTMS0059_2","BTMS0081_1","BTMS0081_2","BTMS0062_1","BTMS0062_2","B126_1","B126_2","BTERN01_1","BTERN01_2","B124_1","B124_2","BTMS0057_1","BTMS0057_2","BT30_1","BT30_2","B10_1","B10_2","BTMS0083_1","BTMS0083_2"
"321","Ind321",3291,167,163,252,240,355,355,312,308,272,278,172,176,135,143,269,267,120,120,191,191,206,210,308,294
"622","Ind622",6109,183,159,242,246,359,359,312,312,278,328,170,164,137,135,259,271,120,120,191,188,206,206,294,306
"408","Ind408",4171,155,157,246,246,355,355,312,312,300,278,170,182,141,135,269,265,124,124,188,191,206,206,298,298
"1307","Ind1307",13086,157,157,254,242,359,339,308,308,278,278,170,178,135,137,275,269,124,112,191,191,206,206,294,282
"1724","Ind1724",17341,153,159,242,242,355,355,308,312,272,288,164,170,143,135,303,271,124,124,185,191,206,206,282,282
"876","Ind876",8640,161,169,242,240,0,0,312,312,278,252,166,178,137,135,267,259,124,116,188,191,210,238,288,292
"1944","Ind1944",19538,157,169,242,254,355,359,312,312,266,0,174,164,137,135,269,265,116,122,188,188,204,210,282,290
"1085","Ind1085",10848,175,171,242,248,339,359,312,308,272,294,170,174,135,135,263,267,118,124,191,185,198,206,298,290
"965","Ind965",9527,157,165,248,242,355,355,312,312,278,288,174,164,135,143,265,269,124,126,191,191,190,214,294,286
"1515","Ind1515",15272,143,165,246,252,355,355,308,312,286,272,170,170,135,147,259,271,118,124,191,191,214,190,282,292
"1260","Ind1260",12655,163,153,246,240,339,359,312,312,278,272,170,174,143,147,263,259,126,130,188,200,206,198,298,318
"941","Ind941",9318,167,169,254,244,355,355,308,308,252,278,178,172,133,135,259,263,118,112,197,191,214,206,318,290
"1503","Ind1503",15155,177,171,0,0,355,359,308,308,296,252,164,168,135,141,267,271,116,120,185,191,214,204,294,290
"1340","Ind1340",13525,177,167,240,240,355,359,312,312,278,298,170,168,135,135,263,267,118,112,191,200,198,206,318,308
"756","Ind756",7461,169,155,242,242,355,339,304,312,252,268,164,176,137,137,265,261,124,116,188,191,204,206,306,306
