"","ClusterIndex","Probability","OffspringID","FatherID","MotherID"
"1","1",1,"ED17_12_01","*1","#1"
"2","1",1,"ED18_12_02","*1","#1"
"3","1",1,"ED24_12_02","*1","#1"
"4","1463",0.9288,"ED17_31_01","*2","#2"
"5","3",1,"ED18_12_01","*3","#3"
"6","3",1,"ED18_12_03","*3","#3"
"7","3",1,"ED20_12_01","*3","#3"
"8","4",1,"ED19_10_01","*4","#4"
"9","5",1,"ED19_10_02","*5","#5"
"10","6",1,"ED19_10_03","*6","#6"
"11","7",1,"ED19_10_04","*7","#7"
"12","8",1,"ED19_12_01","*8","#8"
"13","8",1,"ED26_01A_01","*8","#8"
"14","9",0.9943,"ED19_12_02","*9","#9"
"15","9",0.9943,"ED27_04_03","*9","#9"
"16","10",1,"ED19_13_01","*10","#10"
"17","11",1,"ED19_27B_01","*11","#11"
"18","12",1,"ED19_28_01","*12","#12"
"19","12",1,"ED22_27B_02","*12","#12"
"20","13",1,"ED20_10_02","*13","#13"
"21","14",1,"ED20_10_03","*14","#14"
"22","15",1,"ED20_11_01","*15","#15"
"23","16",0.9852,"ED20_11_02","*16","#16"
"24","16",0.9852,"ED25_23A_01","*16","#16"
"25","17",1,"ED20_11_03","*17","#17"
"26","17",1,"ED26_11_04","*17","#17"
"27","18",1,"ED20_32_01","*18","#18"
"28","18",1,"ED26_02_18","*18","#18"
"29","18",1,"ED27_32_07","*18","#18"
"30","19",1,"ED20_32_02","*19","#19"
"31","19",1,"ED26_32_12","*19","#19"
"32","20",1,"ED20_33_01","*20","#20"
"33","20",1,"ED25_13_16","*20","#20"
"34","21",1,"ED20_33_02","*21","#21"
"35","22",0.9846,"ED20_33_03","*22","#22"
"36","23",1,"ED21_01A_01","*23","#23"
"37","23",1,"ED24_01A_06","*23","#23"
"38","23",1,"ED25_01A_01","*23","#23"
"39","23",1,"ED25_01A_17","*23","#23"
"40","23",1,"ED25_05_05","*23","#23"
"41","23",1,"ED26_01A_05","*23","#23"
"42","23",1,"ED26_01A_14","*23","#23"
"43","23",1,"ED27_01A_10","*23","#23"
"44","23",1,"ED27_01A_11","*23","#23"
"45","23",1,"ED27_04_05","*23","#23"
"46","24",1,"ED21_09_02","*24","#24"
"47","25",1,"ED21_11_01","*25","#25"
"48","26",1,"ED21_15A_04","*26","#26"
"49","26",1,"ED26_06_03","*26","#26"
"50","27",1,"ED21_25A_01","*27","#27"
"51","28",1,"ED21_28A_02","*28","#28"
"52","28",1,"ED25_13_04","*28","#28"
