"","ClusterIndex","Probability","OffspringID","FatherID","MotherID"
"1","1",1,"W22_05_08","*1","#1"
"2","1",1,"W21_05_01","*1","#1"
"3","1",1,"W20_05_04","*1","#1"
"4","2",1,"W22_18_04","*2","#2"
"5","2",1,"W21_18_12","*2","#2"
"6","3",1,"W22_15_01","*3","#3"
"7","4",1,"W22_32_01","*4","#4"
"8","4",1,"W22_25_01","*4","#4"
"9","5",1,"W22_15_03","*5","#5"
"10","6",1,"W22_05_05","*6","#6"
"11","6",1,"W25_05_04","*6","#6"
"12","6",1,"W25_05_10","*6","#6"
"13","7",1,"W22_35_01","*7","#7"
"14","8",1,"W22_05_03","*8","#8"
"15","971",0.8197,"W22_17_02","*9","#9"
"16","10",1,"W22_18_03","*10","#10"
"17","11",1,"W22_35_03","*11","#11"
"18","11",1,"W18_33_03","*11","#11"
"19","12",1,"W22_09_01","*12","#12"
"20","13",1,"W22_16_01","*13","#13"
"21","14",1,"W22_05_09","*14","#14"
"22","15",1,"W22_01_01","*15","#15"
"23","16",1,"W22_02_02","*16","#16"
"24","16",1,"W20_10_01","*16","#16"
"25","17",1,"W22_17_01","*17","#17"
"26","18",1,"W22_35_02","*18","#18"
"27","18",1,"W19_33_02","*18","#18"
"28","19",1,"W21_15_01","*19","#19"
"29","20",1,"W22_20_01","*20","#20"
"30","20",1,"W21_18_02","*20","#20"
"31","21",1,"W22_05_10","*21","#21"
"32","22",0.9992,"W22_05_11","*22","#22"
"33","23",1,"W22_02_01","*23","#23"
"34","24",1,"W22_05_12","*24","#24"
"35","25",1,"W22_05_06","*25","#25"
"36","26",1,"W21_28_01","*26","#26"
"37","27",1,"W21_18_04","*27","#27"
"38","28",1,"W22_05_07","*28","#28"
"39","28",1,"W22_05_04","*28","#28"
"40","29",1,"W21_22_01","*29","#29"
"41","30",1,"W21_18_07","*30","#30"
"42","30",1,"W19_29_01","*30","#30"
"43","31",1,"W21_18_01","*31","#31"
"44","31",1,"W18_11_04","*31","#31"
"45","32",1,"W21_05_03","*32","#32"
"46","32",1,"W21_05_06","*32","#32"
"47","33",1,"W21_18_15","*33","#33"
"48","34",1,"W21_18_06","*34","#34"
"49","35",1,"W21_05_05","*35","#35"
"50","35",1,"W21_05_04","*35","#35"
"51","35",1,"W20_05_09A","*35","#35"
"52","35",1,"W20_05_05","*35","#35"
"53","35",1,"W19_10_02","*35","#35"
"54","36",0.9982,"W21_18_10","*36","#36"
"55","36",0.9982,"W23_18_01","*36","#36"
"56","37",1,"W21_01_06","*37","#37"
"57","38",1,"W21_01_07","*38","#38"
"58","39",1,"W21_05_02","*39","#39"
"59","40",1,"W21_01_04","*40","#40"
"60","41",1,"W21_18_13","*41","#41"
"61","42",1,"W21_15_02","*42","#42"
"62","43",1,"W21_21_02","*43","#43"
"63","44",1,"W21_18_08","*44","#44"
"64","45",1,"W21_13_01","*45","#45"
"65","46",1,"W21_05_07","*46","#46"
"66","47",1,"W21_18_11","*47","#47"
"67","47",1,"W15_18_01","*47","#47"
"68","48",1,"W21_18_05","*48","#48"
"69","972",0.6783,"W21_21_03","*49","#49"
"70","50",1,"W21_05_08","*50","#50"
"71","50",1,"W20_05_08","*50","#50"
"72","51",1,"W21_24_01","*51","#51"
"73","973",0.6309,"W21_18_03","*52","#52"
"74","974",0.6309,"W20_18_03","*52","#52"
"75","53",1,"W20_05_11","*53","#53"
"76","53",1,"W25_05_01","*53","#53"
"77","53",1,"W25_05_06","*53","#53"
"78","53",1,"W18_05_01","*53","#53"
"79","54",1,"W20_05_12","*54","#54"
"80","55",1,"W20_09_04","*55","#55"
"81","56",1,"W21_18_14","*56","#56"
"82","56",1,"W20_18_05","*56","#56"
"83","57",1,"W21_18_09","*57","#57"
"84","57",1,"W20_18_04","*57","#57"
"85","58",1,"W21_13_02","*58","#58"
"86","59",1,"W21_02_01","*59","#59"
"87","975",0.7887,"W21_16_03","*60","#60"
"88","61",0.9965,"W20_09_01","*61","#61"
"89","62",1,"W20_29_04","*62","#62"
"90","62",1,"W14_29_01","*62","#62"
"91","976",0.6746,"W21_21_01","*63","#63"
"92","977",0.6746,"W19_29_05","*63","#63"
"93","64",1,"W21_01_03","*64","#64"
"94","64",1,"W20_05_13","*64","#64"
"95","65",1,"W20_08_01","*65","#65"
"96","66",0.9992,"W20_02_01","*66","#66"
"97","67",0.9974,"W20_09_05","*67","#67"
"98","67",0.9974,"W18_29_02","*67","#67"
"99","68",1,"NR19_29_02","*68","#68"
"100","69",1,"NR19_01_02","*69","#69"
"101","70",1,"NR19_05A_02","*70","#70"
"102","71",1,"NR19_16_03","*71","#71"
"103","72",1,"NR19_27_03","*72","#72"
"104","72",1,"NR20_27_10","*72","#72"
"105","73",1,"NR19_07A_02","*73","#73"
"106","74",1,"NR19_08_01","*74","#74"
"107","74",1,"NR21_02_02","*74","#74"
"108","75",1,"NR19_05A_03","*75","#75"
"109","76",1,"NR19_25_02","*76","#76"
"110","77",1,"NR19_44_13","*77","#77"
"111","78",1,"NR19_27_05","*78","#78"
"112","78",1,"NR18_27_03","*78","#78"
"113","78",1,"NR22_27_03","*78","#78"
"114","78",1,"NR20_27_05","*78","#78"
"115","79",1,"NR19_19_01","*79","#79"
"116","80",1,"NR19_08_06","*80","#80"
"117","81",1,"NR19_14B_01","*81","#81"
"118","81",1,"NR20_30A_05","*81","#81"
"119","82",1,"NR19_01_01","*82","#82"
"120","83",1,"NR19_29_03","*83","#83"
"121","84",1,"NR19_27_02","*84","#84"
"122","84",1,"NR21_27_04","*84","#84"
"123","84",1,"NR21_27_06","*84","#84"
"124","85",1,"NR19_30A_01","*85","#85"
"125","86",1,"NR19_27_04","*86","#86"
"126","87",1,"NR19_04A_01","*87","#87"
"127","88",1,"NR19_44_12","*88","#88"
"128","89",1,"NR18_32_01","*89","#89"
"129","90",1,"NR19_16_04","*90","#90"
"130","91",1,"NR18_31_02","*91","#91"
"131","91",1,"NR20_15A_01","*91","#91"
"132","92",1,"NR18_29_04","*92","#92"
"133","93",1,"NR18_02_01","*93","#93"
"134","93",1,"NR20_01_05","*93","#93"
"135","94",1,"NR18_28_04","*94","#94"
"136","95",1,"NR18_01_03","*95","#95"
"137","96",1,"NR18_29_02","*96","#96"
"138","97",1,"NR18_16_03","*97","#97"
"139","98",1,"NR18_43_02","*98","#98"
"140","99",1,"NR18_01_02","*99","#99"
"141","100",1,"NR18_44_01","*100","#100"
"142","101",1,"NR14_09A_01","*101","#101"
"143","101",1,"NR16_43_02","*101","#101"
"144","102",1,"NR18_16_04","*102","#102"
"145","103",0.9974,"NR18_43_04","*103","#103"
"146","103",0.9974,"NR22_29_02","*103","#103"
"147","104",1,"NR18_28_02","*104","#104"
"148","105",1,"NR18_27_05","*105","#105"
"149","106",1,"NR18_28_01","*106","#106"
"150","107",1,"NR18_43_03","*107","#107"
